id,Datum,Warengruppe,Umsatz,KielerWoche,Rohertrag_daily,uebernachtungen,pas_faehrverkehr_absolut,pas_ausflugsverkehr_absolut,pas_kreuzfahrt_absolut,Bewoelkung,Temperatur,Windgeschwindigkeit
1307011,2013-07-01,1,148.828353112183,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,6.0,17.8375,15.0
1307021,2013-07-02,1,159.79375714468,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,3.0,17.3125,10.0
1307031,2013-07-03,1,111.885593514353,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,7.0,21.075,6.0
1307041,2013-07-04,1,168.864940979931,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,7.0,18.85,7.0
1307051,2013-07-05,1,171.280754117955,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,5.0,19.975,12.0
1307061,2013-07-06,1,174.552359998476,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,0.0,18.9625,8.0
1307071,2013-07-07,1,92.6377553788373,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,0.0,21.375,9.0
1307081,2013-07-08,1,135.500244042392,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,0.0,22.725,10.0
1307091,2013-07-09,1,136.048382778344,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,0.0,23.275,8.0
1307101,2013-07-10,1,135.132314289581,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,2.0,19.6875,13.0
1307111,2013-07-11,1,138.549392636714,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,0.0,21.375,12.0
1307121,2013-07-12,1,101.447511461298,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,0.0,20.2875,7.0
1307131,2013-07-13,1,141.233309883732,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,1.0,20.125,12.0
1307141,2013-07-14,1,112.524365708762,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,5.0,17.6875,15.0
1307151,2013-07-15,1,161.264677322182,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,6.0,18.7375,12.0
1307161,2013-07-16,1,116.821358174215,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,1.0,21.1875,10.0
1307171,2013-07-17,1,150.572919592838,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,5.0,22.5125,8.0
1307181,2013-07-18,1,101.90072129658,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,1.0,23.25,11.0
1307191,2013-07-19,1,161.63511518654,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,3.0,22.475,16.0
1307201,2013-07-20,1,134.328076682024,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,0.0,23.1875,8.0
1307211,2013-07-21,1,66.2887578161955,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,0.0,26.375,8.0
1307221,2013-07-22,1,131.223948997842,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,0.0,26.1,9.0
1307231,2013-07-23,1,110.315246796665,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,0.0,24.95,12.0
1307241,2013-07-24,1,141.891908195545,0.0,27974.2434520548,2068.358695652174,4319.775342465753,153.34520547945206,995.8246575342466,3.0,24.075,11.0
