id,umsatz
1808011,146.38824
1808021,152.00797
1808031,156.0094
1808041,152.12918
1808051,99.91187
1808061,142.41318
1808071,144.48203
1808081,150.30307
1808091,152.59451
1808101,153.7493
1808111,152.36078
1808121,104.5289
1808131,144.77792
1808141,145.48743
1808151,147.80536
1808161,153.02386
1808171,155.12894
1808181,151.00687
1808191,104.149345
1808201,144.49634
1808211,142.78629
1808221,148.302
1808231,152.45508
1808241,153.63269
1808251,145.57007
1808261,102.58706
1808271,138.15735
1808281,140.67514
1808291,145.92136
1808301,145.62369
1808311,154.79141
1809011,139.93106
1809021,98.30566
1809031,136.45032
1809041,136.28473
1809051,137.30212
1809061,140.53616
1809071,142.69897
1809081,135.01303
1809091,89.74945
1809101,135.38925
1809111,133.3359
1809121,130.75613
1809131,136.70279
1809141,142.23105
1809151,135.72821
1809161,90.41643
1809171,125.78411
1809181,125.73156
1809191,126.43662
1809201,129.87912
1809211,142.1247
1809221,139.08609
1809231,91.29327
1809241,132.7645
1809251,130.11816
1809261,132.962
1809271,135.69565
1809281,141.81177
1809291,138.57263
1809301,93.735054
1810011,128.83388
1810021,128.462
1810031,130.1141
1810041,138.0263
1810051,150.74396
1810061,147.32419
1810071,107.08176
1810081,133.8393
1810091,137.26364
1810101,140.39243
1810111,147.3823
1810121,154.35895
1810131,142.16086
1810141,95.82443
1810151,139.84766
1810161,140.14279
1810171,144.01636
1810181,141.57455
1810191,142.54868
1810201,142.89417
1810211,95.38582
1810221,136.78442
1810231,135.87552
1810241,134.85031
1810251,138.87994
1810261,141.19885
1810271,136.82874
1810281,103.21696
1810291,136.83289
1810301,134.71872
1811011,121.13375
1811021,126.32759
1811031,132.07208
1811041,93.42696
1811051,120.29317
1811061,117.84476
1811071,123.84663
1811081,122.32215
1811091,124.10247
1811101,132.22595
1811111,93.443535
1811121,120.519196
1811131,121.41802
1811141,118.8131
1811151,125.9528
1811161,131.04376
1811171,136.27084
1811181,95.55854
1811191,132.01376
1811201,128.36932
1811211,120.020874
1811221,119.81218
1811231,120.47617
1811241,132.15411
1811251,97.0006
1811261,130.31775
1811271,138.40262
1811281,125.33341
1811291,141.85992
1811301,139.72739
1812011,121.47427
1812021,90.90221
1812031,115.870285
1812041,118.749535
1812051,113.8711
1812061,114.56133
1812071,120.3086
1812081,123.33959
1812091,89.96937
1812101,118.33633
1812111,115.58296
1812121,112.57661
1812131,114.76859
1812141,118.354706
1812151,115.44271
1812161,87.538216
1812171,111.04333
1812181,112.94321
1812191,116.96992
1812201,115.94888
1812211,124.44485
1812221,131.76077
1812231,95.33773
1812241,120.17637
1812271,129.74191
1812281,140.81387
1812291,142.31442
1812301,101.710884
1812311,137.91098
1901021,105.14889
1901031,103.72077
1901041,104.51261
1901051,104.85836
1901061,70.75622
1901071,97.32987
1901081,102.59607
1901091,103.20153
1901101,100.780716
1901111,107.13209
1901121,106.6293
1901131,63.48465
1901141,107.45138
1901151,104.37644
1901161,102.71328
1901171,104.55088
1901181,109.1892
1901191,109.976295
1901201,83.51887
1901211,103.59663
1901221,104.8077
1901231,104.9576
1901241,106.11176
1901251,117.94285
1901261,108.96447
1901271,75.650276
1901281,102.998055
1901291,110.986115
1901301,110.63618
1901311,121.65987
1902011,107.05399
1902021,107.57192
1902031,80.48932
1902041,103.86036
1902051,103.33143
1902061,103.94423
1902071,104.02245
1902081,108.44274
1902091,107.81672
1902101,70.913574
1902111,107.92428
1902121,105.73202
1902131,103.861404
1902141,105.86801
1902151,109.77297
1902161,115.50032
1902171,70.312164
1902181,106.407646
1902191,108.283554
1902201,106.59481
1902211,107.28905
1902221,114.11834
1902231,114.08957
1902241,76.4287
1902251,109.091835
1902261,107.51641
1902271,107.290596
1902281,108.97486
1903011,109.213066
1903021,112.04703
1903031,66.466774
1903041,110.146454
1903051,109.260185
1903061,105.75616
1903071,110.43868
1903081,120.26849
1903091,110.93696
1903101,73.32115
1903111,108.87241
1903121,109.889725
1903131,110.38854
1903141,110.689415
1903151,121.05918
1903161,117.83166
1903171,75.165016
1903181,115.648994
1903191,110.620415
1903211,109.58019
1903221,112.33237
1903231,118.873116
1903241,77.95878
1903251,115.91329
1903261,114.39586
1903271,117.856316
1903281,124.03893
1903291,118.84546
1903301,120.632484
1903311,82.11478
1904011,114.62116
1904021,111.76942
1904041,115.822136
1904051,118.86682
1904061,123.295456
1904071,85.801476
1904081,115.55049
1904091,115.58352
1904101,115.244316
1904111,113.63853
1904121,121.94927
1904131,122.17249
1904141,83.16353
1904151,117.03818
1904161,117.066765
1904171,115.359825
1904181,118.15563
1904201,125.16665
1904211,75.08497
1904221,119.85346
1904231,119.38763
1904241,116.05783
1904251,118.555565
1904261,124.5594
1904271,126.21112
1904281,85.28469
1904291,121.091606
1904301,120.448044
1905021,114.811104
1905031,121.02275
1905041,123.477455
1905051,79.48549
1905061,120.21645
1905071,116.76014
1905081,114.05981
1905091,115.554474
1905101,122.76009
1905111,127.53772
1905121,84.646675
1905131,117.575836
1905141,115.22506
1905151,117.50448
1905161,118.781654
1905171,124.36915
1905181,128.67421
1905191,81.68044
1905201,119.82121
1905211,117.98119
1905221,121.39222
1905231,122.42163
1905241,130.40997
1905251,126.62569
1905261,82.678925
1905271,123.72529
1905281,124.01866
1905291,119.00704
1905301,126.53833
1905311,129.25209
1906011,127.72698
1906021,72.09126
1906031,121.12813
1906041,117.1121
1906051,118.62281
1906061,121.63141
1906071,128.97339
1906081,127.57667
1906091,77.13991
1906101,119.7038
1906111,118.310005
1906121,119.25338
1906131,125.58165
1906141,127.43583
1906151,126.97676
1906161,82.30163
1906171,121.73877
1906181,121.60882
1906191,123.181526
1906201,122.70332
1906211,131.19193
1906221,142.92978
1906231,92.34936
1906241,134.66827
1906251,135.50189
1906261,141.91739
1906271,141.2229
1906281,143.11383
1906291,138.91867
1906301,89.00262
1907011,130.42117
1907021,127.941
1907031,129.79865
1907041,128.64053
1907051,133.23682
1907061,137.70718
1907071,88.70357
1907081,128.7958
1907091,132.06854
1907111,132.17807
1907121,138.87558
1907131,147.49988
1907141,100.10847
1907151,130.63742
1907161,135.98889
1907171,133.0463
1907181,140.31805
1907191,145.6124
1907201,146.86053
1907211,99.01653
1907221,129.32614
1907231,137.1597
1907241,140.46484
1907251,143.46988
1907261,150.90015
1907271,147.67865
1907281,99.16227
1907291,134.87769
1907301,134.52838
1808012,476.2052
1808022,496.9219
1808032,522.4561
1808042,590.0687
1808052,545.31976
1808062,464.90277
1808072,454.86926
1808082,486.51294
1808092,524.03687
1808102,427.87634
1808112,500.78076
1808122,555.2405
1808132,452.0528
1808142,430.04065
1808152,459.24817
1808162,504.59033
1808172,451.46603
1808182,574.6518
1808192,613.6361
1808202,404.2638
1808212,377.0703
1808222,441.766
1808232,436.84952
1808242,410.23758
1808252,447.31985
1808262,517.54504
1808272,354.5625
1808282,359.10382
1808292,362.80307
1808302,335.9854
1808312,374.16412
1809012,438.01813
1809022,456.8403
1809032,338.95975
1809042,329.22955
1809052,329.75677
1809062,333.24728
1809072,346.15588
1809082,390.84198
1809092,448.36948
1809102,326.5262
1809112,314.44974
1809122,300.4098
1809132,311.88855
1809142,336.55853
1809152,384.5285
1809162,442.57147
1809172,272.13437
1809182,269.4661
1809192,266.57755
